num,name,abb,risk_group
1,Precentral_L,PreCG.L,2
2,Precentral_R,PreCG.R,0
3,Frontal_Sup_L,SFGdor.L,2
4,Frontal_Sup_R,SFGdor.R,0
5,Frontal_Sup_Orb_L,ORBsup.L,1
6,Frontal_Sup_Orb_R,ORBsup.R,0
7,Frontal_Mid_L,MFG.L,1
8,Frontal_Mid_R,MFG.R,0
9,Frontal_Mid_Orb_L,ORBmid.L,1
10,Frontal_Mid_Orb_R,ORBmid.R,0
11,Frontal_Inf_Oper_L,IFGoperc.L,0
12,Frontal_Inf_Oper_R,IFGoperc.R,0
13,Frontal_Inf_Tri_L,IFGtriang.L,0
14,Frontal_Inf_Tri_R,IFGtriang.R,0
15,Frontal_Inf_Orb_L,ORBinf.L,0
16,Frontal_Inf_Orb_R,ORBinf.R,0
17,Rolandic_Oper_L,ROL.L,0
18,Rolandic_Oper_R,ROL.R,0
19,Supp_Motor_Area_L,SMA.L,0
20,Supp_Motor_Area_R,SMA.R,0
21,Olfactory_L,OLF.L,0
22,Olfactory_R,OLF.R,0
23,Frontal_Sup_Medial_L,SFGmed.L,0
24,Frontal_Sup_Medial_R,SFGmed.R,0
25,Frontal_Med_Orb_L,ORBsupmed.L,0
26,Frontal_Med_Orb_R,ORBsupmed.R,0
27,Rectus_L,REC.L,0
28,Rectus_R,REC.R,0
29,Insula_L,INS.L,1
30,Insula_R,INS.R,0
31,Cingulum_Ant_L,ACG.L,0
32,Cingulum_Ant_R,ACG.R,1
33,Cingulum_Mid_L,DCG.L,0
34,Cingulum_Mid_R,DCG.R,0
35,Cingulum_Post_L,PCG.L,1
36,Cingulum_Post_R,PCG.R,2
37,Hippocampus_L,HIP.L,1
38,Hippocampus_R,HIP.R,1
39,ParaHippocampal_L,PHG.L,1
40,ParaHippocampal_R,PHG.R,0
41,Amygdala_L,AMYG.L,2
42,Amygdala_R,AMYG.R,2
43,Calcarine_L,CAL.L,0
44,Calcarine_R,CAL.R,0
45,Cuneus_L,CUN.L,1
46,Cuneus_R,CUN.R,0
47,Lingual_L,LING.L,0
48,Lingual_R,LING.R,0
49,Occipital_Sup_L,SOG.L,0
50,Occipital_Sup_R,SOG.R,0
51,Occipital_Mid_L,MOG.L,0
52,Occipital_Mid_R,MOG.R,0
53,Occipital_Inf_L,IOG.L,0
54,Occipital_Inf_R,IOG.R,0
55,Fusiform_L,FFG.L,0
56,Fusiform_R,FFG.R,1
57,Postcentral_L,PoCG.L,0
58,Postcentral_R,PoCG.R,0
59,Parietal_Sup_L,SPG.L,0
60,Parietal_Sup_R,SPG.R,0
61,Parietal_Inf_L,IPL.L,0
62,Parietal_Inf_R,IPL.R,1
63,SupraMarginal_L,SMG.L,0
64,SupraMarginal_R,SMG.R,1
65,Angular_L,ANG.L,2
66,Angular_R,ANG.R,0
67,Precuneus_L,PCUN.L,1
68,Precuneus_R,PCUN.R,2
69,Paracentral_Lobule_L,PCL.L,0
70,Paracentral_Lobule_R,PCL.R,0
71,Caudate_L,CAU.L,1
72,Caudate_R,CAU.R,0
73,Putamen_L,PUT.L,2
74,Putamen_R,PUT.R,0
75,Pallidum_L,PAL.L,0
76,Pallidum_R,PAL.R,0
77,Thalamus_L,THA.L,2
78,Thalamus_R,THA.R,0
79,Heschl_L,HES.L,0
80,Heschl_R,HES.R,0
81,Temporal_Sup_L,STG.L,0
82,Temporal_Sup_R,STG.R,1
83,Temporal_Pole_Sup_L,TPOsup.L,0
84,Temporal_Pole_Sup_R,TPOsup.R,0
85,Temporal_Mid_L,MTG.L,0
86,Temporal_Mid_R,MTG.R,0
87,Temporal_Pole_Mid_L,TPOmid.L,0
88,Temporal_Pole_Mid_R,TPOmid.R,0
89,Temporal_Inf_L,ITG.L,0
90,Temporal_Inf_R,ITG.R,0
91,Cerebelum_Crus1_L,CRBLCrus1.L,0
92,Cerebelum_Crus1_R,CRBLCrus1.R,0
93,Cerebelum_Crus2_L,CRBLCrus2.L,0
94,Cerebelum_Crus2_R,CRBLCrus2.R,0
95,Cerebelum_3_L,CRBL3.L,0
96,Cerebelum_3_R,CRBL3.R,0
97,Cerebelum_4_5_L,CRBL45.L,0
98,Cerebelum_4_5_R,CRBL45.R,0
99,Cerebelum_6_L,CRBL6.L,0
100,Cerebelum_6_R,CRBL6.R,0
101,Cerebelum_7b_L,CRBL7b.L,0
102,Cerebelum_7b_R,CRBL7b.R,0
103,Cerebelum_8_L,CRBL8.L,0
104,Cerebelum_8_R,CRBL8.R,0
105,Cerebelum_9_L,CRBL9.L,0
106,Cerebelum_9_R,CRBL9.R,0
107,Cerebelum_10_L,CRBL10.L,0
108,Cerebelum_10_R,CRBL10.R,0
109,Vermis_1_2,Vermis12,0
110,Vermis_3,Vermis3,0
111,Vermis_4_5,Vermis45,0
112,Vermis_6,Vermis6,0
113,Vermis_7,Vermis7,0
114,Vermis_8,Vermis8,0
115,Vermis_9,Vermis9,0
116,Vermis_10,Vermis10,0
